NVMI,$748.57M
NYV,$33.4M
LTS,$620.97M
GEOS,$195.68M
EVO,$36.71M
PAAS,$2.58B
NDP,$205.13M
CNP,$12.27B
OPTN,$755.6M
CASM,$34.72M
HHC,$5.52B
NBL,$15.84B
BGI,$24.79M
SAFM,$3.05B
INN^D,n/a
BK^C,n/a
WTTR,$2.08B
TVIX,$214.53M
SPE^B,n/a
COL,$22.83B
GPP,$585.34M
SMMF,$322.52M
FCF,$1.45B
MOH,$5.28B
LKQ,$13.24B
GMLP,$1.58B
BBRG,$44.85M
VMI,$3.84B
JMU,$87.71M
KGJI,$125.62M
FAX,$1.26B
RWGE.U,n/a
SPCB,$49.6M
GEF.B,n/a
NEPT,$268.92M
ACH,$11.15B
HYAC,$394.52M
GOLD,$9.53B
IBA,$3.19B
IMTE,$14.8M
DRIOW,n/a
FYX,$556.15M
GFNCP,n/a
ATEST.A,n/a
ENO,n/a
CMA.WS,n/a
LAKE,$115.66M
AGEN,$374.68M
INXN,$4.39B
STL^A,n/a
BABA,$526.56B
CVG,$2.13B
AT,$253.47M
PEGA,$4.02B
RNEM,$5.91M
MDCO,$2.45B
DGRE,$80.92M
CBS,$22.94B
ODC,$286.1M
CKH,$846.71M
ROIC,$2.1B
GFY,$80.72M
FHB,$4.04B
SEII,$13.57M
RPAI,$2.75B
JMEI,$495.53M
WHLRW,n/a
WPXP,n/a
TIME,$1.84B
BTE,$791.12M
MVT,$322.56M
MDP,$2.96B
NAN,$418.96M
POWI,$2.3B
EBF,$517.23M
TNAV,$250.36M
ADMS,$950.56M
THG,$4.89B
BREW,$384M
ELLO,$113.07M
GRAM,$360.39M
EGRX,$892.46M
PMT,$1.03B
ROLL,$3.15B
MITT,$517.05M
LND,$221.79M
EXPE,$20.09B
BPL,$8.35B
OBLN,$76.92M
TACO,$500.1M
SNMP,$188.42M
SPE,$133.9M
GWR,$5.04B
ATLO,$272.81M
SNA,$10.39B
ULTA,$13.89B
DEI,$6.56B
UBCP,$72.02M
CGEN,$163.62M
GYRO,$30.68M
COMT,$326.57M
XGTIW,n/a
OTIC,$177.47M
KMI,$41.92B
MMDMW,n/a
OGEN,$13.3M
CXRX,$39.14M
LINC,$47.95M
CTRN,$332.09M
SBOW,$374.15M
MGYR,$74.51M
SBH,$2.13B
KBLM,$144.16M
NOG,$138.99M
IMRN,$21.95M
AIN,$2.04B
DBL,$319.06M
VG,$2.56B
IRIX,$86.73M
PBCT,$6.77B
NLSN,$13.25B
VSAT,$4.51B
DWSN,$150.94M
SCSC,$896.01M
BEDU,$2.52B
CORR^A,n/a
RCKY,$130.14M
SDR,$52.21M
CCM,$130.96M
DAX,$20.19M
KMPR,$3.54B
BRPAU,n/a
JE^A,n/a
JRJC,$60.7M
DOGZ,$114.66M
STRM,$36.57M
TRCH,$74.06M
AGX,$707.47M
RDC,$1.97B
ASNA,$441.09M
GEMP,$107.39M
TICCL,n/a
ZLAB,$1.21B
DUSA,n/a
UONE,$92.13M
CALI,$18.22M
PCYG,$172.1M
GEF,$3.53B
CUZ,$3.81B
VOYA,$9.76B
SIVB,$13.6B
DJCO,$318.95M
PNTR,$151.04M
DCF,$144.28M
IRL,$48.8M
AJRD,$2.14B
XTLB,$11.57M
BKEPP,$233.73M
NITE,$391.16M
RSO^B,n/a
HABT,$231.62M
PGLC,$81.87M
WHF,$273.28M
BOMN,$291.85M
DXC,$29.24B
RHP,$3.95B
PW,$11.13M
ESE,$1.63B
OCUL,$153.37M
MYND,$14.83M
AER,$8.7B
ILMN,$35.75B
PCN,$670.36M
UTHR,$5.92B
IR,$23.44B
SSTK,$1.67B
TMUS,$54.31B
TY^,n/a
ZOM,$188.83M
SRCI,$2.29B
